mode,ate,drift_index,ares_penalty,confidence,proposed_zeta,zeta_max,safe_zeta,was_clipped
no_conf,0.3411859370737722,0.9251201183767972,0.2905305698501975,0.5428088631743859,0.5136408440369917,0.5567425374146788,0.5136408440369917,0
no_ares,0.3411859370737722,0.9251201183767972,0.2905305698501975,0.5428088631743859,0.5136408440369917,0.39609617415904613,0.39609617415904613,1
no_di,0.3411859370737722,0.9251201183767972,0.2905305698501975,0.5428088631743859,0.5136408440369917,0.8,0.5136408440369917,0
ares_alt,0.3411859370737722,0.9251201183767972,0.2905305698501975,0.5428088631743859,0.5136408440369917,0.2660306737334793,0.2660306737334793,1
full,0.045607742059394996,0.9585592132414453,0.24115171847145012,0.8479146590752002,0.157910999945707,0.06393506423013726,0.06393506423013726,1
no_conf,0.045607742059394996,0.9585592132414453,0.24115171847145012,0.8479146590752002,0.157910999945707,0.07540271128213501,0.07540271128213501,1
no_ares,0.045607742059394996,0.9585592132414453,0.24115171847145012,0.8479146590752002,0.157910999945707,0.07985360632740465,0.07985360632740465,1
no_di,0.045607742059394996,0.9585592132414453,0.24115171847145012,0.8479146590752002,0.157910999945707,0.30795308345761996,0.157910999945707,0
ares_alt,0.045607742059394996,0.9585592132414453,0.24115171847145012,0.8479146590752002,0.157910999945707,0.06901648326529904,0.06901648326529904,1
full,0.9733166616763207,0.4907069943545209,0.4689132274874914,0.7002096366632528,0.43144258073986774,0.8,0.43144258073986774,0
no_conf,0.9733166616763207,0.4907069943545209,0.4689132274874914,0.7002096366632528,0.43144258073986774,0.8,0.43144258073986774,0
no_ares,0.9733166616763207,0.4907069943545209,0.4689132274874914,0.7002096366632528,0.43144258073986774,0.8,0.43144258073986774,0
no_di,0.9733166616763207,0.4907069943545209,0.4689132274874914,0.7002096366632528,0.43144258073986774,0.8,0.43144258073986774,0
ares_alt,0.9733166616763207,0.4907069943545209,0.4689132274874914,0.7002096366632528,0.43144258073986774,0.8,0.43144258073986774,0
full,0.5339513261837872,0.3315689973425522,0.2603362012357689,0.6072380222135326,0.1151284559162313,0.8,0.1151284559162313,0
no_conf,0.5339513261837872,0.3315689973425522,0.2603362012357689,0.6072380222135326,0.1151284559162313,0.8,0.1151284559162313,0
no_ares,0.5339513261837872,0.3315689973425522,0.2603362012357689,0.6072380222135326,0.1151284559162313,0.8,0.1151284559162313,0
no_di,0.5339513261837872,0.3315689973425522,0.2603362012357689,0.6072380222135326,0.1151284559162313,0.8,0.1151284559162313,0
ares_alt,0.5339513261837872,0.3315689973425522,0.2603362012357689,0.6072380222135326,0.1151284559162313,0.8,0.1151284559162313,0
full,1.6525838483887156,0.8961607718397667,0.07012454449930539,0.6878253004773345,0.1760030187948105,0.8,0.1760030187948105,0
no_conf,1.6525838483887156,0.8961607718397667,0.07012454449930539,0.6878253004773345,0.1760030187948105,0.8,0.1760030187948105,0
no_ares,1.6525838483887156,0.8961607718397667,0.07012454449930539,0.6878253004773345,0.1760030187948105,0.8,0.1760030187948105,0
no_di,1.6525838483887156,0.8961607718397667,0.07012454449930539,0.6878253004773345,0.1760030187948105,0.8,0.1760030187948105,0
ares_alt,1.6525838483887156,0.8961607718397667,0.07012454449930539,0.6878253004773345,0.1760030187948105,0.8,0.1760030187948105,0
full,1.3444801860796234,0.2812337838390083,0.3297113173459509,0.8088962300008178,0.63805324434236,0.8,0.63805324434236,0
no_conf,1.3444801860796234,0.2812337838390083,0.3297113173459509,0.8088962300008178,0.63805324434236,0.8,0.63805324434236,0
no_ares,1.3444801860796234,0.2812337838390083,0.3297113173459509,0.8088962300008178,0.63805324434236,0.8,0.63805324434236,0
no_di,1.3444801860796234,0.2812337838390083,0.3297113173459509,0.8088962300008178,0.63805324434236,0.8,0.63805324434236,0
