h_rate,controller,seed,viol_rate,final_V,auc_V,pearson
0.1,C3_EMA,10,0.28128128128128127,0.03945022089222111,2.2484874637971197,0.9026202554378501
0.1,C3_EMA,11,0.25725725725725723,0.02064539389220927,2.237946113301021,0.9049884209130757
0.1,C3_EMA,12,0.25825825825825827,0.1258179612765114,2.1746262553932043,0.9022649341500638
0.1,C3_EMA,13,0.2732732732732733,11.230676947751084,2.15700035952688,0.885388251270022
0.1,C3_EMA,14,0.27427427427427425,0.34360841423512306,2.1241020479159296,0.8989218595670734
0.1,C3_EMA,15,0.25625625625625625,0.7278442976348608,2.2244111650366487,0.9044486182902198
0.1,C3_EMA,16,0.25225225225225223,0.668767856327829,2.2332959888853536,0.8791532629526924
0.1,C3_EMA,17,0.25125125125125125,0.06823600348343845,2.2538321949898634,0.8980676598357696
0.1,C3_EMA,18,0.2732732732732733,3.3236027650666125,2.024877189858099,0.895258243893224
0.1,C3_EMA,19,0.26126126126126126,0.16200305785614327,2.1148693274235453,0.8917983993891087
0.1,C3_EMA,20,0.25925925925925924,1.4622827660078472,2.2060949797101097,0.8959885104564207
0.1,C3_EMA,21,0.26926926926926925,0.18749812164644053,2.203813900369246,0.8482969160751953
0.1,C3_EMA,22,0.24624624624624625,11.685718875399044,2.100650463622286,0.8803754959456227
0.1,C3_EMA,23,0.2772772772772773,0.49711342154079907,2.1583936941681423,0.9025466783047451
0.1,C3_EMA,24,0.25825825825825827,11.350495149426047,2.0793177139442816,0.8869603181597231
0.1,C3_EMA,25,0.2682682682682683,0.11710718223462094,2.1849455893736693,0.8925849776064735
0.1,C3_EMA,26,0.24724724724724725,0.24681817967546663,2.216703658728882,0.9031779452901181
0.1,C3_EMA,27,0.2902902902902903,0.23732567355931297,2.0677504169992384,0.9158919441575981
0.1,C3_EMA,28,0.28128128128128127,0.03375295122929968,2.207190584231239,0.8847315988306159
0.1,C3_EMA,29,0.2722722722722723,12.17054213558371,2.1472616344627924,0.894715292473139
0.1,C3_EMA,30,0.26326326326326327,0.10877677019219287,2.1404888826358954,0.8880096340976693
0.1,C3_EMA,31,0.26126126126126126,2.4254966453623164,2.2368952442514893,0.8907261030564934
0.1,C3_EMA,32,0.27127127127127126,0.08367468653630608,2.1257090408866883,0.8996602701705917
0.1,C3_EMA,33,0.24924924924924924,0.03944970247503378,2.18672607781275,0.8968991050953735
0.1,C3_EMA,34,0.2772772772772773,1.861007848167273,2.2069757049939027,0.8762966113602912
