regime,hallucination_rate,seed,spearman_rho,kendall_tau,final_V_true,final_V_hat
stationary,0.1,86,0.3607,0.2686,0.2113,0.0327
stationary,0.1,87,0.4339,0.324,0.1356,0.0002
stationary,0.1,88,0.4131,0.3052,1.3566,0.0693
stationary,0.1,89,0.4032,0.3048,30.997,1226.632
stationary,0.1,90,0.3933,0.2916,0.1102,0.003
stationary,0.1,91,0.3909,0.2925,0.0079,0.0
stationary,0.1,92,0.3135,0.2388,0.6218,0.2672
stationary,0.1,93,0.363,0.275,0.0344,0.0002
stationary,0.1,94,0.3962,0.2972,5.9129,21.7285
stationary,0.1,95,0.4433,0.3384,0.0257,0.0
stationary,0.1,96,0.3766,0.2805,11.4993,58.3777
stationary,0.1,97,0.3967,0.2945,0.206,0.0019
stationary,0.1,98,0.4086,0.3069,0.429,0.0
stationary,0.1,99,0.4417,0.3352,0.0333,0.0001
stationary,0.1,100,0.4233,0.3178,0.0075,0.0001
stationary,0.1,101,0.4537,0.3469,0.0323,0.0
stationary,0.1,102,0.4206,0.3206,0.0574,0.0023
stationary,0.1,103,0.4285,0.3196,0.093,0.0005
stationary,0.1,104,0.4407,0.3331,0.0493,0.0
stationary,0.1,105,0.4646,0.3534,6.3671,28.8489
stationary,0.1,106,0.3506,0.2667,1.7909,3.5479
stationary,0.1,107,0.4025,0.3002,0.1145,0.005
stationary,0.1,108,0.3383,0.2647,0.2357,0.0
stationary,0.1,109,0.3973,0.2973,0.0066,0.0
stationary,0.1,110,0.3857,0.2914,0.0317,0.0
stationary,0.1,111,0.4163,0.3107,0.1339,0.0049
stationary,0.1,112,0.4152,0.31,0.1268,0.0
stationary,0.1,113,0.3946,0.2945,0.1243,0.0005
stationary,0.1,114,0.3425,0.2579,2.6737,10.271
stationary,0.1,115,0.4004,0.3024,3.3819,2.1163
stationary,0.1,116,0.452,0.3397,0.0463,0.0009
stationary,0.1,117,0.4035,0.3058,0.1387,0.0
stationary,0.1,118,0.4367,0.3273,0.0028,0.0003
stationary,0.1,119,0.3707,0.2823,0.2478,0.0121
stationary,0.1,120,0.418,0.314,0.0342,0.0
stationary,0.1,121,0.4503,0.3395,0.0215,0.0003
stationary,0.1,122,0.3976,0.2976,0.0749,0.0018
stationary,0.1,123,0.4019,0.304,0.0096,0.0002
stationary,0.1,124,0.4508,0.3387,0.0316,0.0
stationary,0.1,125,0.3793,0.2871,0.0432,0.002
stationary,0.1,126,0.4753,0.3627,0.0214,0.0006
stationary,0.1,127,0.4176,0.3151,0.0512,0.0
stationary,0.1,128,0.3099,0.2307,0.2393,0.0
stationary,0.1,129,0.374,0.2816,0.0629,0.0
stationary,0.1,130,0.4305,0.3226,0.1784,0.0
stationary,0.1,131,0.3834,0.2855,0.6136,0.0
stationary,0.1,132,0.4048,0.307,0.5689,0.0
stationary,0.1,133,0.3758,0.2814,0.173,0.0018
stationary,0.1,134,0.3713,0.2756,0.1426,0.0001
stationary,0.1,135,0.4353,0.3267,0.3233,0.0311
stationary,0.1,136,0.3815,0.2846,0.316,0.0694
stationary,0.1,137,0.3992,0.301,0.1104,0.0034
stationary,0.1,138,0.3603,0.2736,0.1423,0.0
stationary,0.1,139,0.3754,0.2811,0.023,0.0
stationary,0.1,140,0.3604,0.275,0.1059,0.0027
stationary,0.1,141,0.4314,0.3291,0.0055,0.0001
stationary,0.1,142,0.4486,0.3385,1.0778,0.188
stationary,0.1,143,0.3727,0.276,0.0942,0.0019
stationary,0.1,144,0.452,0.3365,0.0476,0.0005
stationary,0.1,145,0.4095,0.3202,0.842,0.0
stationary,0.1,146,0.4085,0.3035,0.2659,0.0062
stationary,0.1,147,0.3931,0.2934,6.1453,14.534
stationary,0.1,148,0.4421,0.3326,0.9626,0.0515
stationary,0.1,149,0.4187,0.3133,9.4686,47.5752
stationary,0.1,150,0.4183,0.3112,0.2952,0.0173
stationary,0.1,151,0.3621,0.2733,0.0271,0.0
stationary,0.1,152,0.3614,0.2677,0.0748,0.0015
stationary,0.1,153,0.4254,0.32,0.0811,0.0
stationary,0.1,154,0.4402,0.3303,0.0644,0.0027
stationary,0.1,155,0.4553,0.3427,0.0287,0.0001
stationary,0.1,156,0.4292,0.3214,0.2131,0.0137
stationary,0.1,157,0.4206,0.3139,0.1195,0.0019
stationary,0.1,158,0.4027,0.3099,0.0095,0.0
stationary,0.1,159,0.4094,0.3049,0.015,0.0002
stationary,0.1,160,0.3408,0.2571,0.0268,0.0
stationary,0.1,161,0.3744,0.2858,0.0054,0.0001
stationary,0.1,162,0.4657,0.3475,0.1227,0.0033
stationary,0.1,163,0.3924,0.2911,0.4653,0.0
stationary,0.1,164,0.3866,0.2899,3.0895,2.7223
stationary,0.1,165,0.3963,0.2982,0.1935,0.0235
stationary,0.1,166,0.3597,0.2698,0.5999,0.0
stationary,0.1,167,0.3922,0.2928,0.4716,0.0
stationary,0.1,168,0.3949,0.301,0.0473,0.001
stationary,0.1,169,0.379,0.2843,0.165,0.0002
stationary,0.1,170,0.3664,0.278,0.0999,0.001
stationary,0.1,171,0.4392,0.3243,0.9637,0.0
stationary,0.1,172,0.4037,0.3039,0.1068,0.0006
stationary,0.1,173,0.4298,0.3187,0.0148,0.0
stationary,0.1,174,0.4767,0.3557,0.0743,0.0002
stationary,0.1,175,0.4076,0.3107,0.012,0.0001
stationary,0.1,176,0.3877,0.287,0.1897,0.0053
stationary,0.1,177,0.4043,0.3014,0.1036,0.0034
stationary,0.1,178,0.4249,0.3205,0.6082,0.0
stationary,0.1,179,0.4871,0.3685,0.1186,0.0
stationary,0.1,180,0.3878,0.2928,0.1861,0.0002
stationary,0.1,181,0.3831,0.2906,0.037,0.0001
stationary,0.1,182,0.3762,0.2811,1.0714,0.0033
stationary,0.1,183,0.4573,0.3476,0.2021,0.0007
stationary,0.1,184,0.4038,0.3027,0.0007,0.0003
stationary,0.1,185,0.3136,0.2297,0.0628,0.0013
stationary,0.1,186,0.4509,0.3395,0.1442,0.0003
stationary,0.1,187,0.4595,0.3444,0.0532,0.0001
stationary,0.1,188,0.4238,0.3189,0.0598,0.0004
stationary,0.1,189,0.4341,0.3229,0.1164,0.0059
stationary,0.1,190,0.3917,0.293,0.0559,0.0001
stationary,0.1,191,0.4052,0.3044,3.2074,1.2688
stationary,0.1,192,0.3935,0.2929,0.1881,0.0
stationary,0.1,193,0.4644,0.3472,6.1353,8.9221
stationary,0.1,194,0.4226,0.3202,5.1824,15.4554
stationary,0.1,195,0.4639,0.3497,0.7681,0.2838
stationary,0.1,196,0.3879,0.2913,0.0551,0.0
stationary,0.1,197,0.3566,0.2639,0.7655,0.0018
stationary,0.1,198,0.3972,0.2991,0.088,0.0
stationary,0.1,199,0.3948,0.2999,0.8244,0.0134
stationary,0.1,200,0.425,0.3178,0.2072,0.0101
stationary,0.1,201,0.3296,0.2507,0.1115,0.0056
stationary,0.1,202,0.3642,0.2806,0.0086,0.0
stationary,0.1,203,0.4313,0.3232,0.0064,0.0
stationary,0.1,204,0.4207,0.3142,5.9872,19.617
stationary,0.1,205,0.3872,0.2891,0.2191,0.0049
stationary,0.1,206,0.4038,0.3039,0.4816,0.0
stationary,0.1,207,0.4066,0.3026,0.0267,0.0004
