seed,ablation,h_rate,final_energy,mean_energy,max_energy,total_regret,oscillation_count,oscillation_index,c2_rejections,c2_rejection_rate,drift_detections,mean_detection_delay,mean_recovery_energy,lr_base
0,C3_only,0.3,37.25234833759831,7.930057197001609,56.790631068441016,4709.451551393628,175,0.2916666666666667,0,0.0,0,50.0,4.445819265329502,0.5
1,C3_only,0.3,2.942144899191584,7.495480278132418,59.49590074881874,4481.451651275872,160,0.26666666666666666,0,0.0,0,50.0,10.440181750873904,0.5
2,C3_only,0.3,7.323601945155098,9.132284496192746,37.97200369000562,5481.494495488195,165,0.275,0,0.0,0,50.0,9.31377490359567,0.5
3,C3_only,0.3,4.9420914845373565,8.540605289006608,68.8028832739441,5151.177188950786,158,0.2633333333333333,0,0.0,0,50.0,15.608881988761254,0.5
4,C3_only,0.3,0.7311770040474572,9.071745573897537,66.43190426147113,5405.745921428835,150,0.25,0,0.0,0,50.0,7.368986612276466,0.5
5,C3_only,0.3,6.3396110355512665,8.361178397753203,49.45340186440499,4979.871261180821,167,0.2783333333333333,0,0.0,0,50.0,4.618913139516361,0.5
6,C3_only,0.3,11.916242857122677,8.621191777169605,49.55520240667967,5167.923859829441,152,0.25333333333333335,0,0.0,0,50.0,9.808795381805382,0.5
7,C3_only,0.3,6.635168766867826,8.782369406737061,88.32248585545632,5232.154759420999,139,0.23166666666666666,0,0.0,0,50.0,8.681418748293193,0.5
8,C3_only,0.3,0.6306370337833652,7.691152849911256,58.10331451758397,4580.0847467323,174,0.29,0,0.0,0,50.0,13.80729687506771,0.5
9,C3_only,0.3,1.0430598486478286,8.664926094743914,61.173832222426356,5168.3016971357,150,0.25,0,0.0,0,50.0,14.048719386720773,0.5
10,C3_only,0.3,27.07455729996468,7.74442932159877,48.82343259790989,4649.267870234862,181,0.3016666666666667,0,0.0,0,50.0,7.996938560339905,0.5
11,C3_only,0.3,5.215508536905492,9.388065017902886,233.39626556814227,5613.403388477287,152,0.25333333333333335,0,0.0,0,50.0,13.931026503367423,0.5
12,C3_only,0.3,0.5683107882996543,7.475366391461946,47.10362630522558,4467.479871645748,170,0.2833333333333333,0,0.0,0,50.0,3.981147779019719,0.5
13,C3_only,0.3,1.0406944987165023,8.706478935673726,73.5040272141136,5217.743466045485,150,0.25,0,0.0,0,50.0,2.4479806788799854,0.5
14,C3_only,0.3,3.0974806881898576,7.326358016640861,49.237101274606395,4375.055641289795,176,0.29333333333333333,0,0.0,0,50.0,3.6063750912549972,0.5
15,C3_only,0.3,7.1871598048214524,10.352009633161833,65.9609663253963,6215.258169766178,159,0.265,0,0.0,0,50.0,10.889595250243987,0.5
16,C3_only,0.3,0.9698084081302444,7.0685674575296815,41.04462927643011,4271.593346831624,178,0.2966666666666667,0,0.0,0,50.0,1.3911458164618988,0.5
17,C3_only,0.3,11.558402974902426,8.491522071466848,97.20242708200965,5110.309437178934,178,0.2966666666666667,0,0.0,0,50.0,3.5924372893957806,0.5
18,C3_only,0.3,6.97643119818788,9.520020454634539,98.23284645882626,5718.445810336439,153,0.255,0,0.0,0,50.0,2.757068961828176,0.5
19,C3_only,0.3,6.586065718422081,8.82869777550365,112.32436458259141,5293.022095615882,159,0.265,0,0.0,0,50.0,15.48778856985336,0.5
0,C1+C3,0.3,37.25234833759831,7.930057197001609,56.790631068441016,4709.451551393628,175,0.2916666666666667,0,0.0,1,50.0,4.445819265329502,0.5
1,C1+C3,0.3,2.9500445432622837,7.495469732814775,59.49590074881874,4481.445324085287,160,0.26666666666666666,0,0.0,6,26.0,10.440181750873904,0.5
2,C1+C3,0.3,7.323601945155098,9.132284496192746,37.97200369000562,5481.494495488195,165,0.275,0,0.0,0,50.0,9.31377490359567,0.5
