seed,h_rate,controller,final_V,cumulative_V,true_viol_rate,pearson,spearman,bound_gap_mean
49,0.0,C3_oracle,47.0081912881086,67.7226955300075,0.4974974974974975,0.41179568275533496,0.3517616867271615,0.0
49,0.0,C3_proxy,0.06976909892523285,2.02663552744225,0.33733733733733734,0.9386880749175022,0.0620259604263484,0.30700008808774387
50,0.0,B1_fixed,0.14630700710733494,0.10420421364935552,0.4994994994994995,0.017973271889172106,0.5904956395571227,0.30076077471155965
50,0.0,B2_cosine,0.005375277021376225,0.0762295073043604,0.4914914914914915,0.007624728318510297,0.3144226438611027,0.2441182915629153
50,0.0,B3_gradclip,0.14630700710733494,0.14992278633927586,0.4954954954954955,-0.008796203026790737,0.5770076107375107,0.3042635291178608
50,0.0,C3_oracle,8.57501386975703,13.810124344935572,0.48148148148148145,0.41993865753960063,0.3168325973826862,0.0
50,0.0,C3_proxy,0.10442213481217583,2.1186059708431415,0.36036036036036034,0.9410272925112,0.020680198839020933,0.2839680741946844
51,0.0,B1_fixed,0.044733417311297416,0.08604833904605497,0.4994994994994995,0.06385271531204949,0.5421493161921045,0.3265858032375841
51,0.0,B2_cosine,0.0014973551671827376,0.056332911801056235,0.4954954954954955,0.04379922949313568,0.3154320551647617,0.23570231776634396
51,0.0,B3_gradclip,0.04477086190402231,0.096911209128986,0.4954954954954955,0.03343446003126828,0.5316301761754946,0.33755259303572455
51,0.0,C3_oracle,1.0218250652210599,0.8334984039455933,0.5025025025025025,0.5785678560623568,0.27040312040091613,0.6420775652708792
51,0.0,C3_proxy,0.038176147327265354,2.023289557428196,0.34234234234234234,0.9406857340567717,0.019547977846012823,0.29947503225400274
52,0.0,B1_fixed,0.06618165050667706,0.07915280360935747,0.4994994994994995,0.16191907418138693,0.5692740898364734,0.32498231353684026
52,0.0,B2_cosine,0.002442351412960262,0.05037591869586862,0.4964964964964965,0.12654669408653496,0.3232657049964679,0.2550891728144413
52,0.0,B3_gradclip,0.0661816504850114,0.08033944176411793,0.4994994994994995,0.14664001184956874,0.568377753757675,0.3318623729745863
52,0.0,C3_oracle,0.0014639684262862673,0.9069101177945739,0.5025025025025025,0.6572785742662526,0.4932258535064138,0.36317149851917646
52,0.0,C3_proxy,0.03243085389725575,2.0796022837510972,0.34234234234234234,0.9389321347556847,0.07380652587438652,0.27521976727564296
53,0.0,B1_fixed,0.0048452041491032025,0.09294067164433606,0.5005005005005005,0.04283592758042452,0.58052791048664,0.29531740449224464
53,0.0,B2_cosine,0.004250938794314236,0.0625065026643127,0.4924924924924925,0.01774351283324363,0.3204593918358214,0.24742849721463525
53,0.0,B3_gradclip,0.00482888890138187,0.11529994415857253,0.4984984984984985,0.013903847576067625,0.56617745701729,0.305115248471866
53,0.0,C3_oracle,27.771994348921467,14.556698649369874,0.4944944944944945,0.3889701691463857,0.46585049870496786,0.0
53,0.0,C3_proxy,0.0037331427497172636,2.047551806393607,0.3383383383383383,0.9389161003465115,0.0530850484743222,0.2865524301668024
54,0.0,B1_fixed,0.12278106280452024,0.10389800082231958,0.48348348348348347,0.013880825884232057,0.537063938691461,0.30745567870958623
54,0.0,B2_cosine,0.0017578883518553075,0.07549265559843635,0.5005005005005005,0.0014687952079626857,0.3180012182058053,0.23605238621454125
54,0.0,B3_gradclip,0.12278106280452024,0.15485903494663195,0.47847847847847846,-0.013126684796507365,0.5230970380064944,0.31217793587851594
54,0.0,C3_oracle,114.0544548903204,81.94846592736789,0.5045045045045045,0.31653326487736755,0.3304061614564545,0.0
54,0.0,C3_proxy,0.12453318783546036,2.1327205525756554,0.3433433433433433,0.9393876875771165,0.03297888546767711,0.3191294529939236
55,0.0,B1_fixed,0.10735525978582992,0.15039736866461584,0.4954954954954955,-0.007261828131907501,0.5813447916023758,0.3335610890962095
55,0.0,B2_cosine,0.0038561444846131115,0.11917209567287546,0.5055055055055055,-0.010998006073442087,0.3548254695638662,0.26352154985295584
55,0.0,B3_gradclip,0.10735525978582992,0.3462762818669102,0.4914914914914915,-0.03926514789375088,0.5534493435540114,0.34285934490061615
55,0.0,C3_oracle,213.22793548264414,168.8756523394927,0.5205205205205206,0.10149856357086273,0.06697686919984958,0.0
55,0.0,C3_proxy,0.01496549127531185,2.306613229284402,0.34034034034034033,0.885573909679355,0.041777635389295,0.2965465658075413
56,0.0,B1_fixed,0.03845087561564381,0.10099419818291833,0.4894894894894895,0.01633616588617973,0.5646829836282247,0.3684419467508333
56,0.0,B2_cosine,0.0026461100072727494,0.07013757019898535,0.4894894894894895,0.008445193592294226,0.3222066656824501,0.2646821910758983
56,0.0,B3_gradclip,0.03845087561564381,0.13983018475651732,0.4874874874874875,-0.013500407494232647,0.5550058799085211,0.37033495361480756
56,0.0,C3_oracle,80.7514043232426,89.77065953891989,0.5025025025025025,0.2267631986150035,0.09874787016687207,0.0
56,0.0,C3_proxy,0.010513335988833713,2.095189284873946,0.35435435435435436,0.9306069083894637,0.04486443965763107,0.3291309765088654
57,0.0,B1_fixed,0.1600486064966042,0.0901758313140696,0.4914914914914915,0.021692384864757674,0.5713351418033441,0.2934227767120444
57,0.0,B2_cosine,0.0035355953413230027,0.060789175293085244,0.4994994994994995,0.014730908451741936,0.33215686849018816,0.23558387812268375
57,0.0,B3_gradclip,0.1600486064966042,0.12415527372696578,0.4914914914914915,-0.006782124403097125,0.5547396200929795,0.2930753690347795
57,0.0,C3_oracle,102.73681983199808,55.569406613660874,0.5175175175175175,0.34944484945459475,0.32604753915871815,0.0
57,0.0,C3_proxy,0.08204912881031441,2.036709515713183,0.34434434434434436,0.9214983242188689,0.06838261316296756,0.2928498246462623
58,0.0,B1_fixed,0.04791472782924237,0.11310507379293278,0.4944944944944945,0.011365061112688014,0.5497771041505739,0.34688159360753495
58,0.0,B2_cosine,0.001279487614723335,0.08353633821065512,0.4874874874874875,0.0014160779929230018,0.30878827609533643,0.2878956168962605
58,0.0,B3_gradclip,0.04791472782924237,0.18752381185664985,0.4914914914914915,-0.017191038051023483,0.5270874730234797,0.35127386610818784
58,0.0,C3_oracle,145.82623610036546,89.68940284679731,0.5145145145145145,0.3502615185271655,0.2987725288191956,0.0
58,0.0,C3_proxy,0.007503827377619876,2.0905361314244337,0.35235235235235235,0.9200744575250143,0.08367891937752103,0.28903396025054257
59,0.0,B1_fixed,0.04204150417839523,0.11648466453037952,0.4804804804804805,0.004979695267084685,0.5615432435969664,0.31456536952839464
59,0.0,B2_cosine,0.0008720737816161528,0.0859256529156713,0.4854854854854855,-0.0012491203791668948,0.3147409544065336,0.2515844638735033
59,0.0,B3_gradclip,0.04204150417839523,0.206468625274854,0.4804804804804805,-0.024452156980913062,0.5447378125573793,0.32238166420030173
59,0.0,C3_oracle,93.48216671333593,95.66960907616696,0.5015015015015015,0.15642667323562506,0.16761979941280736,0.0
59,0.0,C3_proxy,0.03940115460546624,2.1489903376723807,0.34734734734734735,0.9140418442171887,0.03408821802175154,0.3246944953547693
60,0.0,B1_fixed,0.06722412230102533,0.10350945065706851,0.4954954954954955,0.017244610795073393,0.545685217131008,0.2691476279815372
60,0.0,B2_cosine,0.00045326745452149784,0.07449549910486185,0.4874874874874875,0.00662765820008542,0.3198229571705876,0.22402523200848393
