noise,controller,seed,deadlock_steps,deadlock_rate,nonzero_frac,convergence,final_V,V_0
Gaussian,C3_raw,13,0,0.0,1.0,1,0.6736735923942377,16.72177551582364
Gaussian,C3_raw,14,0,0.0,1.0,1,0.7645261043571502,4.580910718752267
Gaussian,C3_raw,15,0,0.0,1.0,1,0.6246203118270276,3.44050367146675
Gaussian,C3_raw,16,0,0.0,1.0,1,0.17581522094117685,6.138628336749356
Gaussian,C3_raw,17,0,0.0,1.0,1,1.3830627586379167,8.523313447216008
Gaussian,C3_raw,18,0,0.0,1.0,1,1.0316210441133935,3.9595004436701395
Gaussian,C3_raw,19,0,0.0,1.0,1,0.8946144376859779,5.99650536172652
Gaussian,C3_raw,20,0,0.0,1.0,1,1.5406407641196735,3.9836353579978248
Gaussian,C3_raw,21,0,0.0,1.0,1,1.2430499038200977,11.03266990009458
Gaussian,C3_raw,22,0,0.0,1.0,1,0.4440707598326599,3.575592431881679
Gaussian,C3_raw,23,0,0.0,1.0,1,0.8443300100515921,4.452439005630747
Gaussian,C3_raw,24,0,0.0,1.0,1,1.0500464270469019,2.197088557169647
Gaussian,C3_raw,25,0,0.0,1.0,1,0.3765521035793754,1.4290329493444343
Gaussian,C3_raw,26,0,0.0,1.0,1,1.8866116066935321,6.554781004765105
Gaussian,C3_raw,27,0,0.0,1.0,1,0.3310835360138988,11.591007949935872
Gaussian,C3_raw,28,0,0.0,1.0,1,0.41622122338194273,2.892028062741624
Gaussian,C3_raw,29,0,0.0,1.0,0,0.8476613628539331,0.34176369363477965
Gaussian,C3_raw,30,0,0.0,1.0,1,1.2794151292408953,4.861165321295563
Gaussian,C3_raw,31,0,0.0,1.0,1,0.5208480165312743,1.1639777670042344
Gaussian,C3_raw,32,0,0.0,1.0,0,1.0326567221682885,0.2641281599019824
Gaussian,C3_raw,33,0,0.0,1.0,1,0.3799153017883615,2.0148917757083806
Gaussian,C3_raw,34,0,0.0,1.0,1,0.6835661089921949,4.693677381801871
Gaussian,C3_raw,35,0,0.0,1.0,1,1.018939634271413,10.406741024668426
Gaussian,C3_raw,36,0,0.0,1.0,1,0.9110737359724018,1.069620382777322
Gaussian,C3_raw,37,0,0.0,1.0,1,0.46313076163516603,1.4251745323881793
Gaussian,C3_raw,38,0,0.0,1.0,1,0.6785985935299449,2.7293513936993006
Gaussian,C3_raw,39,0,0.0,1.0,0,2.6244205176045567,1.757942510776713
Student-t(3),C3_EMA,0,1,0.001,0.999,1,1.652628596962297,5.149800153604376
Student-t(3),C3_EMA,1,2,0.002,0.998,1,0.06832915456168837,4.142171332872086
Student-t(3),C3_EMA,2,0,0.0,1.0,0,23.12794735053219,3.0014691474254476
Student-t(3),C3_EMA,3,0,0.0,1.0,1,0.6834309189414272,4.151562153760945
Student-t(3),C3_EMA,4,0,0.0,1.0,1,0.26342916173260517,2.344321159413381
Student-t(3),C3_EMA,5,0,0.0,1.0,1,0.7150607351773293,9.517482022847261
Student-t(3),C3_EMA,6,3,0.003,0.997,1,0.26183293510100814,2.382941827580161
Student-t(3),C3_EMA,7,0,0.0,1.0,1,0.5780104427463002,3.403035202565921
Student-t(3),C3_EMA,8,0,0.0,1.0,1,3.983620735071662,5.033431431232955
Student-t(3),C3_EMA,9,0,0.0,1.0,0,30.20187266337045,0.7989882134512369
Student-t(3),C3_EMA,10,0,0.0,1.0,1,0.27609978608379043,4.113429356012993
Student-t(3),C3_EMA,11,1,0.001,0.999,1,1.3029440181668905,2.6215576767854696
Student-t(3),C3_EMA,12,0,0.0,1.0,1,1.2675965547476675,4.859422121724326
Student-t(3),C3_EMA,13,1,0.001,0.999,1,0.37312817171831175,16.458369577698925
Student-t(3),C3_EMA,14,0,0.0,1.0,1,0.04326694615533813,6.12303909372606
Student-t(3),C3_EMA,15,1,0.001,0.999,1,0.5701114607444852,2.7068794497082544
Student-t(3),C3_EMA,16,1,0.001,0.999,1,4.608048853044059,6.099846602809869
Student-t(3),C3_EMA,17,3,0.003,0.997,0,21.901236334999183,7.31714060470916
Student-t(3),C3_EMA,18,0,0.0,1.0,1,0.3798198490626343,5.016410575828713
Student-t(3),C3_EMA,19,2,0.002,0.998,1,3.2162155883228163,5.996729866025594
Student-t(3),C3_EMA,20,0,0.0,1.0,1,0.10235591458352723,3.3917449061348126
