refuter,ate_orig,ate_refuted,delta_ratio,passed,seed,scenario,type,tau_true,gamma,is_fragile
data_subset,0.13060314112653204,0.09556085250302773,0.6047856129831228,0,62,42,reliable_weak,0.5,0.0,0
random_common_cause,-2.010914049213559,-2.0226318712630764,0.005827112329390708,1,62,43,fragile_mild,0.0,0.3,1
placebo_treatment,-2.010914049213559,0.574444993695979,0.2856636234256937,1,62,43,fragile_mild,0.0,0.3,1
data_subset,-2.010914049213559,-2.1118211459254295,0.13939948118252085,1,62,43,fragile_mild,0.0,0.3,1
random_common_cause,0.18874966059863485,0.1900064150219175,0.006658313552971482,1,62,44,reliable_strong,1.0,0.0,0
placebo_treatment,0.18874966059863485,-0.2780397054775199,1.4730606910534008,0,62,44,reliable_strong,1.0,0.0,0
data_subset,0.18874966059863485,0.19105834187505102,0.8331530265960029,0,62,44,reliable_strong,1.0,0.0,0
random_common_cause,0.2461286042268948,0.31882934902036797,0.29537706526159646,0,62,45,fragile_mild,0.0,0.3,1
placebo_treatment,0.2461286042268948,-0.14658044058766817,0.5955441101536589,0,62,45,fragile_mild,0.0,0.3,1
data_subset,0.2461286042268948,0.3112647093026041,2.1053894861170717,0,62,45,fragile_mild,0.0,0.3,1
random_common_cause,2.6185641550414376,2.609803663243681,0.0033455326198100223,1,62,46,fragile_mild,0.0,0.3,1
placebo_treatment,2.6185641550414376,0.8787369021129916,0.3355796727077271,1,62,46,fragile_mild,0.0,0.3,1
data_subset,2.6185641550414376,2.3685290015599056,0.16569203476007882,1,62,46,fragile_mild,0.0,0.3,1
random_common_cause,-0.42785374148758554,-0.6008766700165535,0.4043973716985443,0,62,47,fragile_mild,0.0,0.3,1
placebo_treatment,-0.42785374148758554,-1.086559719884328,2.539558766288959,0,62,47,fragile_mild,0.0,0.3,1
data_subset,-0.42785374148758554,-0.6755869078175675,0.74583875506186,0,62,47,fragile_mild,0.0,0.3,1
random_common_cause,0.34529428841522614,0.3420412003220809,0.009421204469021794,1,62,48,fragile_mild,0.0,0.3,1
placebo_treatment,0.34529428841522614,-0.2328258759060835,0.6742824417243294,0,62,48,fragile_mild,0.0,0.3,1
data_subset,0.34529428841522614,0.15488549275673424,3.159943740036884,0,62,48,fragile_mild,0.0,0.3,1
random_common_cause,0.6720838361823925,0.8169137336821343,0.21549379661086995,0,62,49,fragile_mild,0.0,0.3,1
placebo_treatment,0.6720838361823925,-1.5982287387185332,2.3780199026908306,0,62,49,fragile_mild,0.0,0.3,1
data_subset,0.6720838361823925,0.6523525574745769,1.0372313798700024,0,62,49,fragile_mild,0.0,0.3,1
random_common_cause,-0.022790490555746175,-0.022244308280182937,0.02396535845629391,1,62,50,fragile_strong,0.0,0.5,1
placebo_treatment,-0.022790490555746175,0.06301063174831162,2.7647773352743705,0,62,50,fragile_strong,0.0,0.5,1
