noise,controller,seed,viol_rate,pearson,final_V,auc_V,convergence,deadlock_rate,nonzero_frac
Gaussian,C3_raw,9,0.5105105105105106,0.8077041446891756,0.8400383138148513,1.1124717210687132,1,0.0,1.0
Gaussian,C3_raw,10,0.5095095095095095,0.7671674692920749,0.4880998430579537,1.1344992514861878,1,0.0,1.0
Gaussian,C3_raw,11,0.5225225225225225,0.779456603739676,0.5193801723495337,1.1346171680348132,1,0.0,1.0
Gaussian,C3_raw,12,0.5065065065065065,0.6015586686577563,2.903940133718489,1.0560898125659655,1,0.0,1.0
Gaussian,C3_raw,13,0.5025025025025025,0.4394752312199426,0.5378030385486537,1.1296648868058419,1,0.0,1.0
Gaussian,C3_raw,14,0.5145145145145145,0.7355460975668947,2.410908158780515,1.139837928318186,1,0.0,1.0
Gaussian,C3_raw,15,0.5225225225225225,0.754489027228124,0.8435542454829644,1.0472742391197014,1,0.0,1.0
Gaussian,C3_raw,16,0.5065065065065065,0.6453857243572708,0.3046989488517103,1.1639192099493845,1,0.0,1.0
Gaussian,C3_raw,17,0.5195195195195195,0.555096539563356,2.113807365598281,1.1227418705772636,1,0.0,1.0
Gaussian,C3_raw,18,0.5125125125125125,0.7651295123394184,0.7950519944822724,1.0941877842738366,1,0.0,1.0
Gaussian,C3_raw,19,0.5115115115115115,0.647957710868762,0.4494642038638545,1.062364985880999,1,0.0,1.0
Gaussian,C3_raw,20,0.5105105105105106,0.7792582228246944,2.400420554550853,1.112000585358594,1,0.0,1.0
Gaussian,C3_raw,21,0.5165165165165165,0.5549500854807002,0.34577045617969765,1.1101106281996544,1,0.0,1.0
Gaussian,C3_raw,22,0.5055055055055055,0.7455368685166966,1.8685221829654173,1.1222947040262214,1,0.0,1.0
Gaussian,C3_raw,23,0.5125125125125125,0.7124645749206237,0.6768271236881539,1.0636281651782225,1,0.0,1.0
Gaussian,C3_raw,24,0.5115115115115115,0.8057712099245226,0.8030585305990985,1.1260140429010257,1,0.0,1.0
Gaussian,C3_raw,25,0.5215215215215215,0.7071749706079786,0.740645784977962,1.126371055839314,1,0.0,1.0
Gaussian,C3_raw,26,0.5105105105105106,0.6859691678534494,0.6866822732222927,1.1059169282098238,1,0.0,1.0
Gaussian,C3_raw,27,0.5095095095095095,0.30061510240405115,1.3232086922265367,1.0841904177645647,1,0.0,1.0
Gaussian,C3_raw,28,0.5055055055055055,0.6948196615780451,0.4696856890908617,1.089622240240569,1,0.0,1.0
Gaussian,C3_raw,29,0.5055055055055055,0.751602783000792,0.4468231045375344,1.1666050946601987,1,0.0,1.0
Gaussian,C3_raw,30,0.5125125125125125,0.7344523828877191,1.7342867174083567,1.1000776525868814,1,0.0,1.0
Gaussian,C3_raw,31,0.5115115115115115,0.7330520191753742,0.45602163107478205,1.1042183426644046,1,0.0,1.0
Gaussian,C3_raw,32,0.5165165165165165,0.7998696802496124,1.0369139799836222,1.0936899995124567,0,0.0,1.0
Gaussian,C3_raw,33,0.5145145145145145,0.7686862579046629,1.6786042695036307,1.1044088651627904,0,0.0,1.0
Gaussian,C3_raw,34,0.5035035035035035,0.7699628596379294,0.5960832886416598,1.1165182425095193,1,0.0,1.0
Gaussian,C3_raw,35,0.5305305305305306,0.35040867558191335,0.9695829727146011,1.1389833010287498,1,0.0,1.0
Gaussian,C3_raw,36,0.5225225225225225,0.7619782834399966,0.4149988479168653,1.1345240295339636,1,0.0,1.0
Gaussian,C3_raw,37,0.5155155155155156,0.8401208826610058,1.170435786636906,1.113238354833775,1,0.0,1.0
Gaussian,C3_raw,38,0.5125125125125125,0.7551443446688647,2.6870145552289415,1.06483555522375,1,0.0,1.0
Gaussian,C3_raw,39,0.5125125125125125,0.7643747557035503,0.46257252116735054,1.1067156691206947,1,0.0,1.0
Student-t(3),C3_EMA,0,0.2972972972972973,0.7350942279572983,0.663425292480785,3.3751098874798116,1,0.0,1.0
Student-t(3),C3_EMA,1,0.2832832832832833,0.7043998332242165,1.2200569460656625,4.269665904745862,1,0.0,1.0
Student-t(3),C3_EMA,2,0.2972972972972973,0.8041008827860403,1.7923101740673506,3.5656648483266515,1,0.0,1.0
