seed,severity,detector,delay,pre_fpr,arl0
58,moderate,entropy_weighted,700,0.03333333333333333,0
58,moderate,uniform,700,0.03333333333333333,0
58,moderate,adwin,700,0.0,300
58,moderate,cusum,6,0.03333333333333333,104
58,moderate,page_hinkley,700,0.0,300
59,moderate,entropy_weighted,700,0.03333333333333333,0
59,moderate,uniform,700,0.03333333333333333,0
59,moderate,adwin,700,0.0,300
59,moderate,cusum,0,0.02666666666666667,120
59,moderate,page_hinkley,700,0.0,300
60,moderate,entropy_weighted,73,0.03333333333333333,0
60,moderate,uniform,76,0.03333333333333333,0
60,moderate,adwin,700,0.0,300
60,moderate,cusum,14,0.02666666666666667,104
60,moderate,page_hinkley,700,0.0,300
61,moderate,entropy_weighted,700,0.03333333333333333,0
61,moderate,uniform,700,0.03333333333333333,0
61,moderate,adwin,700,0.0,300
61,moderate,cusum,41,0.03666666666666667,104
61,moderate,page_hinkley,700,0.0,300
62,moderate,entropy_weighted,700,0.03333333333333333,0
62,moderate,uniform,700,0.03333333333333333,0
62,moderate,adwin,700,0.0,300
62,moderate,cusum,3,0.02666666666666667,120
62,moderate,page_hinkley,683,0.0,300
63,moderate,entropy_weighted,572,0.03333333333333333,0
63,moderate,uniform,575,0.03333333333333333,0
63,moderate,adwin,700,0.0,300
63,moderate,cusum,7,0.03,109
63,moderate,page_hinkley,700,0.0,300
64,moderate,entropy_weighted,700,0.03333333333333333,0
64,moderate,uniform,700,0.03333333333333333,0
64,moderate,adwin,700,0.0,300
64,moderate,cusum,4,0.03,109
64,moderate,page_hinkley,700,0.0,300
65,moderate,entropy_weighted,700,0.03333333333333333,0
65,moderate,uniform,700,0.03333333333333333,0
65,moderate,adwin,700,0.0,300
65,moderate,cusum,7,0.03333333333333333,101
65,moderate,page_hinkley,700,0.0,300
66,moderate,entropy_weighted,700,0.03333333333333333,0
66,moderate,uniform,700,0.03333333333333333,0
66,moderate,adwin,700,0.0,300
66,moderate,cusum,4,0.03333333333333333,101
66,moderate,page_hinkley,700,0.0,300
67,moderate,entropy_weighted,301,0.03333333333333333,0
67,moderate,uniform,700,0.03333333333333333,0
67,moderate,adwin,700,0.0,300
67,moderate,cusum,14,0.03333333333333333,102
67,moderate,page_hinkley,621,0.0,300
68,moderate,entropy_weighted,649,0.03333333333333333,0
68,moderate,uniform,700,0.03333333333333333,0
68,moderate,adwin,700,0.0,300
68,moderate,cusum,0,0.03,101
68,moderate,page_hinkley,585,0.0,300
69,moderate,entropy_weighted,700,0.03333333333333333,0
69,moderate,uniform,700,0.03333333333333333,0
69,moderate,adwin,700,0.0,300
69,moderate,cusum,31,0.04,87
69,moderate,page_hinkley,700,0.0,300
70,moderate,entropy_weighted,700,0.03333333333333333,0
70,moderate,uniform,700,0.03333333333333333,0
70,moderate,adwin,700,0.0,300
70,moderate,cusum,5,0.03333333333333333,90
70,moderate,page_hinkley,700,0.0,300
71,moderate,entropy_weighted,700,0.03333333333333333,0
71,moderate,uniform,700,0.03333333333333333,0
71,moderate,adwin,700,0.0,300
71,moderate,cusum,0,0.023333333333333334,105
71,moderate,page_hinkley,700,0.0,300
72,moderate,entropy_weighted,431,0.03333333333333333,0
72,moderate,uniform,438,0.03333333333333333,0
72,moderate,adwin,700,0.0,300
72,moderate,cusum,15,0.02666666666666667,106
72,moderate,page_hinkley,591,0.0,300
73,moderate,entropy_weighted,49,0.03333333333333333,0
73,moderate,uniform,57,0.03333333333333333,0
73,moderate,adwin,662,0.0,300
73,moderate,cusum,3,0.02666666666666667,110
73,moderate,page_hinkley,475,0.0,300
74,moderate,entropy_weighted,700,0.03333333333333333,0
74,moderate,uniform,700,0.03333333333333333,0
74,moderate,adwin,700,0.0,300
74,moderate,cusum,24,0.03,117
74,moderate,page_hinkley,700,0.0,300
75,moderate,entropy_weighted,700,0.03333333333333333,0
75,moderate,uniform,700,0.03333333333333333,0
75,moderate,adwin,700,0.0,300
75,moderate,cusum,34,0.03333333333333333,112
75,moderate,page_hinkley,700,0.0,300
76,moderate,entropy_weighted,700,0.03333333333333333,0
76,moderate,uniform,700,0.03333333333333333,0
76,moderate,adwin,700,0.0,300
76,moderate,cusum,11,0.03333333333333333,99
